"orderId","Account","Order ID","B/S","Contract","Product","Product Description","avgPrice","filledQty","Fill Time","Side","Status","Order Time","Quantity","Text","Type","Limit Price","Stop Price","decimalLimit","decimalStop","Filled Qty","Avg Fill Price","decimalFillAvg","Timestamp","Date"
156085290911,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21940,4,"12/24/2024 10:08:54","Sell","Filled","12/24/2024 10:08:54",4,"Tradingview","Limit",21940,"",21940,"",4,21940,21940,"12/24/2024 10:08:54","12/24/2024"
156085290911,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21934,4,"12/24/2024 10:09:03","Sell","Filled","12/24/2024 10:09:03",4,"Tradingview","Limit",21934,"",21934,"",4,21934,21934,"12/24/2024 10:09:03","12/24/2024"
156085290863,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21920,4,"12/24/2024 10:01:23","Sell","Filled","12/24/2024 10:01:23",4,"Tradingview","Limit",21920,"",21920,"",4,21920,21920,"12/24/2024 10:01:23","12/24/2024"
156085290863,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21912,4,"12/24/2024 10:02:04","Sell","Filled","12/24/2024 10:02:04",4,"Tradingview","Limit",21912,"",21912,"",4,21912,21912,"12/24/2024 10:02:04","12/24/2024"
156085290840,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21905.5,4,"12/24/2024 10:00:58","Buy","Filled","12/24/2024 10:00:58",4,"Tradingview","Limit",21905.5,"",21905.5,"",4,21905.5,21905.5,"12/24/2024 10:00:58","12/24/2024"
156085290840,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21908.75,4,"12/24/2024 10:01:10","Buy","Filled","12/24/2024 10:01:10",4,"Tradingview","Limit",21908.75,"",21908.75,"",4,21908.75,21908.75,"12/24/2024 10:01:10","12/24/2024"
156085290818,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21903,4,"12/24/2024 09:59:52","Buy","Filled","12/24/2024 09:59:52",4,"Tradingview","Limit",21903,"",21903,"",4,21903,21903,"12/24/2024 09:59:52","12/24/2024"
156085290818,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21909.5,4,"12/24/2024 10:00:00","Buy","Filled","12/24/2024 10:00:00",4,"Tradingview","Limit",21909.5,"",21909.5,"",4,21909.5,21909.5,"12/24/2024 10:00:00","12/24/2024"
156085290526,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21740,4,"12/23/2024 15:42:07","Sell","Filled","12/23/2024 15:42:07",4,"Tradingview","Limit",21740,"",21740,"",4,21740,21740,"12/23/2024 15:42:07","12/23/2024"
156085290526,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21735.5,4,"12/23/2024 15:54:38","Sell","Filled","12/23/2024 15:54:38",4,"Tradingview","Limit",21735.5,"",21735.5,"",4,21735.5,21735.5,"12/23/2024 15:54:38","12/23/2024"
156085290465,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21720,4,"12/23/2024 15:31:09","Sell","Filled","12/23/2024 15:31:09",4,"Tradingview","Limit",21720,"",21720,"",4,21720,21720,"12/23/2024 15:31:09","12/23/2024"
156085290465,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21714,4,"12/23/2024 15:31:44","Sell","Filled","12/23/2024 15:31:44",4,"Tradingview","Limit",21714,"",21714,"",4,21714,21714,"12/23/2024 15:31:44","12/23/2024"
156085290434,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21760,4,"12/23/2024 14:07:38","Sell","Filled","12/23/2024 14:07:38",4,"Tradingview","Limit",21760,"",21760,"",4,21760,21760,"12/23/2024 14:07:38","12/23/2024"
156085290434,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21752.5,4,"12/23/2024 14:10:53","Sell","Filled","12/23/2024 14:10:53",4,"Tradingview","Limit",21752.5,"",21752.5,"",4,21752.5,21752.5,"12/23/2024 14:10:53","12/23/2024"
156085290402,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21740,4,"12/23/2024 13:35:48","Sell","Filled","12/23/2024 13:35:48",4,"Tradingview","Limit",21740,"",21740,"",4,21740,21740,"12/23/2024 13:35:48","12/23/2024"
156085290402,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21733.75,4,"12/23/2024 13:36:15","Sell","Filled","12/23/2024 13:36:15",4,"Tradingview","Limit",21733.75,"",21733.75,"",4,21733.75,21733.75,"12/23/2024 13:36:15","12/23/2024"
156085290358,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21720,4,"12/23/2024 13:07:17","Sell","Filled","12/23/2024 13:07:17",4,"Tradingview","Limit",21720,"",21720,"",4,21720,21720,"12/23/2024 13:07:17","12/23/2024"
156085290358,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21708.5,4,"12/23/2024 13:18:06","Sell","Filled","12/23/2024 13:18:06",4,"Tradingview","Limit",21708.5,"",21708.5,"",4,21708.5,21708.5,"12/23/2024 13:18:06","12/23/2024"
156085290323,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21680,4,"12/23/2024 12:25:14","Sell","Filled","12/23/2024 12:25:14",4,"Tradingview","Limit",21680,"",21680,"",4,21680,21680,"12/23/2024 12:25:14","12/23/2024"
156085290323,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21674,4,"12/23/2024 12:25:40","Sell","Filled","12/23/2024 12:25:40",4,"Tradingview","Limit",21674,"",21674,"",4,21674,21674,"12/23/2024 12:25:40","12/23/2024"
156085290270,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21680,4,"12/23/2024 11:44:00","Sell","Filled","12/23/2024 11:44:00",4,"Tradingview","Limit",21680,"",21680,"",4,21680,21680,"12/23/2024 11:44:00","12/23/2024"
156085290270,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21668.75,4,"12/23/2024 11:45:33","Sell","Filled","12/23/2024 11:45:33",4,"Tradingview","Limit",21668.75,"",21668.75,"",4,21668.75,21668.75,"12/23/2024 11:45:33","12/23/2024"
156085290119,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21520.75,4,"12/23/2024 10:09:28","Buy","Filled","12/23/2024 10:09:28",4,"Tradingview","Limit",21520.75,"",21520.75,"",4,21520.75,21520.75,"12/23/2024 10:09:28","12/23/2024"
156085290119,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21539.25,4,"12/23/2024 10:12:59","Buy","Filled","12/23/2024 10:12:59",4,"Tradingview","Limit",21539.25,"",21539.25,"",4,21539.25,21539.25,"12/23/2024 10:12:59","12/23/2024"
156085290044,"16588763","206753192629","Buy","NQH5","NQ","E-Mini NASDAQ 100",21560,4,"12/23/2024 09:50:36","Buy","Filled","12/23/2024 09:50:36",4,"Tradingview","Limit",21560,"",21560,"",4,21560,21560,"12/23/2024 09:50:36","12/23/2024"
156085290044,"16588763","206753192629","Sell","NQH5","NQ","E-Mini NASDAQ 100",21569.25,4,"12/23/2024 09:50:53","Buy","Filled","12/23/2024 09:50:53",4,"Tradingview","Limit",21569.25,"",21569.25,"",4,21569.25,21569.25,"12/23/2024 09:50:53","12/23/2024"